username,betId,sport,team1,team1price,team2,team2price,selection,stake,payout,status,betwon
issei,bc86ba3d19479aea6af13b12f3c29f68,NBA,New Orleans Pelicans,13.000000,Oklahoma City Thunder,1.040000,Oklahoma City Thunder,1000.000000,1040.000000,completed,true
issei,58c5d4f9449efc54b2a2ceb71ca6878b,NBA,Cleveland Cavaliers,1.110000,Indiana Pacers,7.000000,Indiana Pacers,800.000000,5600.000000,completed,false
issei,f383ac51e8102cfb59ce70f5e1a308ff,NBA,Dallas Mavericks,1.560000,New Orleans Pelicans,2.520000,New Orleans Pelicans,77.000000,194.040000,completed,false
lin,bc86ba3d19479aea6af13b12f3c29f68,NBA,New Orleans Pelicans,13.000000,Oklahoma City Thunder,1.040000,Oklahoma City Thunder,1000.000000,1040.000000,Bet Placed,false
lin,3640b757990601e61f5ca4fb241d99a8,NBA,Minnesota Timberwolves,1.160000,Sacramento Kings,5.000000,Minnesota Timberwolves,1000.000000,1160.000000,Bet Placed,false
issei,bd5ab48d88ac2df3a17c43a6d06e52ad,NBA,Houston Rockets,1.220000,Phoenix Suns,4.200000,Phoenix Suns,1.000000,4.200000,completed,false
theo,731fa66351071a1e5cd387fd7087aa8f,NBA,Toronto Raptors,1.110000,Washington Wizards,7.400000,Toronto Raptors,1000.000000,1110.000000,Bet Placed,false
issei,67f8d60e11df6ab3af7c3c43c15ad6bb,NBA,Memphis Grizzlies,4.300000,New York Knicks,1.240000,New York Knicks,1.000000,1.240000,completed,true
issei,a43d5e85ccdf728d56f44bfda12b9d06,NBA,Orlando Magic,1.930000,Philadelphia 76ers,1.890000,Philadelphia 76ers,1234.000000,2332.260000,completed,false
bill,95d399e5dd6898e13b30f7aafb0ad214,NBA,Minnesota Timberwolves,1.580000,Phoenix Suns,2.440000,Minnesota Timberwolves,2.000000,3.160000,Bet Placed,false
